Raw,Raw_Translated,Clean,Clean_Translated,Tag,,,,,
gagi di pako nakain ng tanghalian kakapuyat ko,I didn't even eat lunch,gagi. di pako nakain ng tanghalian kakapuyat ko,gagi. I didn't eat lunch,0,,,,,
GAGO ALL CAPS PARS INTENSE JUSKO DAPAT DI NO NA SINABI SSKIN HUHU HSHS,Gago all caps pars intense jusko should not have said sskin huhu hshs,GAGO ALL CAPS PARS INTENSE JUSKO DAPAT DI NO NA SINABI SSKIN HUHU HSHS,Gago all caps pars intense jusko should not have said sskin huhu hshs,1,,,,,
gago bat naging past tense to kinakabahan ako,Gago bat became past tense to nervous,gago bakit naging past tense ito kinakabahan ako,gago why did it become past tense it was nervous,1,,,,,
gago sino itong bigla biglang ngumawa kasi wala lang whahahahaa,Gago who it is all of a sudden laughing because there is no whahahahaa,gago sino itong bigla biglang ngumawa kasi wala lang whahahahaa,Gago who it is all of a sudden laughing because there is no whahahahaa,1,,,,,
Gagi alam mo nman may bibilin ako ahahhaha,You know that i have something to do ahahhaha,"Gago, alam mo naman may bibilin ako ahahhaha","Gago, you know I have something to do ahahhaha",1,,,,,
gago. sana all logtu na pero mas sana all ende stress sa acads kingina,Gago. Hope All Logtu is that but more all ende stress in Acads Kingina,gago. sana all logtu na pero mas sana all ende stress sa acads kingina,Gago. Hope All Logtu is that but more all ende stress in Acads Kingina,1,,,,,
Ganda ganda tayo for todays Video,We are nice for todays video,Ganda ganda tayo for todays Video,We are nice for todays video,0,,,,,
ganda ko namang demonyo HAHAHAHAH,I'm a nice demon hahahahah,ganda ko namang demonyo HAHAHAHAH,I'm a nice demon hahahahah,0,,,,,
Ganda na sana ng araw ko kung nakasama kita today,My day would have been nice if I had been with you today,Ganda na sana ng araw ko kung nakasama kita today,My day would have been nice if I had been with you today,1,,,,,
ganda talaga,really nice,ganda talaga,really nice,0,,,,,
Ganun pala ang tipo bakit ako ang jinowa,That's how the type is why I'm Jinowa,Ganun pala ang tipo bakit ako ang jowa,That's how the type is why I'm jowa,0,,,,,
get your shit together lloyd he dont even think of you anymore not a single bit youre a nobody to him pls,get your shit together lloyd he dont even think of you anymore not a single bit youre a nobody to him pls,get your shit together lloyd he dont even think of you anymore not a single bit youre a nobody to him pls,get your shit together lloyd he dont even think of you anymore not a single bit youre a nobody to him pls,1,,,,,
Girl best friend din ako beh pero di ako haliparot na katulad mo di ka marunong dumistansya panay kapa shared post about woman empowerment ulol kad yan applicable sayo gaga ka,Girl best friend also me but I don't know how you don't know how to talk about it shared post about woman empowerment crazy kad yan applicable to you,Girl best friend din ako beh. pero di ako haliparot na katulad mo di ka marunong dumistansya. panay ka pa-shared post about woman empowerment. ulol. kad yan applicable sayo. gaga ka,Girl best friend din ako. But I am not as good as you do not know how to go. Panay ka pa-shared post about woman empowerment. Ulol. That's applicable to you. Gaga ka,1,,,,,
Give me a bottle of wine and well be dancing,Give me a bottle of wine and well be dancing,Give me a bottle of wine and well be dancing,Give me a bottle of wine and well be dancing,0,,,,,
GO JOLINA SHUTA ACKKK,Gogo jolina shuta ACKKK,GO JOLINA SHUTA ACKKK,Gogo jolina shuta ACKKK,1,,,,,
Go National UNiversity,Go National UNiversity,Go National UNiversity,Go National UNiversity,0,,,,,
God bless the Philippines,God bless the Philippines,God bless the Philippines,God bless the Philippines,0,,,,,
Good evening beautiful,Good evening beautiful,Good evening beautiful,Good evening beautiful,0,,,,,
Good old days nasaan na kaya kayo HWHAHHA,Good old days where are you so hwhahha,Good old days nasaan na kaya kayo HAHAHHA,Good old days where are you so hahahha,0,,,,,
grabe parang arawaraw ako lutang taena kahapon kala ko thursday na tas ngayon kala ko friday na HAHAHAH tas sabi ni papa ito laging advance HAHAHAAHAHAHAHAAHAHAHAHAHAHAHAHAHAHAHAHAHAAHAHA sensya na wala ako pasok ei HAHAHAHAAH,It's like everyday I floated yesterday yesterday thursday tas now i'm friday hahahah bag says dad is always advanced hahahaahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha,"grabe parang araw araw ako lutang ,tangina, kahapon kala ko thursday na tas ngayon kala ko friday na HAHAHAH. tas sabi ni papa ito laging advance HAHAHAAHAHAHAHAAHAHAHAHAHAHAHAHAHAHAHAHAHAAHAHA. pasensiya na wala ako pasok eh HAHAHAHAAH","It was like everyday I was floating, tangina, yesterday I was thursday now that I was friday hahahah. Tas says dad is always advanced hahahaahahahahaahahahahahahahahahahahahahahahaha. I'm sorry I didn't go to school eh hahahahaah",1,,,,,
grabe sakit ng ulo ko yawaaaaaa,My headache yawaaaaaa,grabe sakit ng ulo ko yawa,My headache is serious,0,,,,,
grabe sakit ng ulo ko yawa,My headache is serious,grabe sakit ng ulo ko yawa,My headache is serious,1,,,,,
grabe sched pag uwi manila haha,grabe sched when i go home manila haha,grabe sched pag uwi manila. haha,Severe scheduling manila. Haha,0,,,,,
Grabe sir laki ng paa nyo,Serious sir size of your feet,Grabe sir laki ng paa nyo,Serious sir size of your feet,0,,,,,
Grabe tong May 20221 break up1 landian ended3 swimming trips Hahaha penge naman bago,Seriously with 20221 break up1 landian ended3 swimming trips hahaha penge before,Grabe tong May 2022. break up. landian. ended swimming trips. Hahaha penge naman ng bago,Grabe tong May 2022. Break up. Landian. ended swimming trips. Hahaha penge naman ng new,0,,,,,
Grabe yung nginig ng kalamnan ko sa bobong yun sana malasin sya buong buhay nya,My muscles trembled in the bob,"Grabe yung nginig ng kalamnan ko sa bobo na yun, sana malasin sya buong buhay nya","My muscles trembled in that stupidity, he would have lost his whole life",1,,,,,
Grabe yung tawa namin ni Doc Bing kanina Shuta kasing chef yan ng panciteria,Doc Bing and I were so laugh,Grabe yung tawa namin ni Doc Bing kanina Shuta kasing chef yan ng panciteria,Doc Bing and I were so laugh,0,,,,,
grabeng kulog at kidlat yan jusq,thunder and lightning that jusq,grabeng kulog at kidlat yan,That thunder and lightning,0,,,,,
Guess whos not a sporty kid pero nagkaroon ng ACL and Meniscus Tear,GUESS WHOS NOT A SPORTY KID BUT ACL AND MENISCUS TEAR,Guess who's not a sporty kid pero nagkaroon ng ACL and Meniscus Tear,Guess who's not a sporty kid but there was ACL and Meniscus Tear,0,,,,,
Gusto ko lumaro ng basketball,I like to play basketball,Gusto ko lumaro ng basketball,I like to play basketball,0,,,,,
Gusto ko mag jowa ng nature,I want to jowa of nature,Gusto ko mag jowa ng nature.,I want to jowa nature.,0,,,,,
Gusto ko mag pakulay ulit Wag papa demonyo chano,I want to color again wag papa demon chano,Gusto ko mag pakulay ulit Wag papa demonyo chano,I want to color again wag papa demon chano,1,,,,,
Gusto ko mag start magcollect ng PCs Hahaha pero how to start po,I want to start a pcs hahaha but how to start po,Gusto ko mag start magcollect ng PCs. Hahaha. pero how to start po,I want to start a pcs. Hahaha. but how to start po,0,,,,,
usto ko magdula pero tangina im so motherfucking tired,usto ko play but tangina im so motherfucking tired,gusto ko magdula pero tangina im so motherfucking tired,i want to play but tangina im so motherfucking tired,1,,,,,
Gustooo ko Ng matapos lahat to,I like to finish it all,Gusto ko ng matapos lahat to,I want to finish it all,1,,,,,
Gusto ko Ng tumakas dito,I want to run away from it,Gusto ko Ng tumakas dito,I want to run away from it,1,,,,,
Gusto kong calamares,I like Calamares,Gusto kong calamares,I like Calamares,0,,,,,
Gusto kong maka iyot alter pinoy,I want to get Alter Pinoy,Gusto kong maka iyot alter pinoy,I want to get Alter Pinoy,1,,,,,
gusto mo carbonara nagluto aqo,you like carbonara cooked aqo,gusto mo carbonara nagluto aqo,you like carbonara cooked aqo,0,,,,,
Gym na nga lang ako kahit masakit pa,Gym is just me even though it hurts,Gym na nga lang ako kahit masakit pa,Gym is just me even though it hurts,0,,,,,
habol na pleeease,Pleease,habol na pleeease,Pleease,0,,,,,
Habulan with yourself ganon,Chase with yourself ganon,"Habulan with yourself, ganoon","Catch with yourself, that's how it is",0,,,,,
Haha pikit na lang siya friend,Haha he just got a friend,Haha pikit na lang siya friend,Haha he just got a friend,0,,,,,
Haha ulol mukha kang pera,Haha crazy you face money,Haha ulol mukha kang pera,Haha crazy you face money,1,,,,,
Haha pa deliver ko lng sir,Haha pa deliver ko lng sir,Haha. pa-deliver ko lang sir,Haha. I just deliver sir,0,,,,,
HAHAAHAHAHAHAAHAHAH,Hahahaahahahahahahahahahahahahh,HAHAAHAHAHAHAAHAHAH,Hahahaahahahahahahahahahahahahh,0,,,,,
hahaha engot,Hahaha Engot,hahaha engot,Hahaha Engot,1,,,,,
hahaha ikaw na lang,hahaha you are just,hahaha ikaw na lang,hahaha you are just,0,,,,,
hahaha ikaw na lang,hahaha you are just,hahaha ikaw na lang,hahaha you are just,0,,,,,
Hahaha kung sino sino na lang awayin no,Hahaha who who just fights no,Hahaha kung sino sino na lang awayin no,Hahaha who who just fights no,0,,,,,
Hahaha payat,Hahaha skinny,Hahaha payat,Hahaha skinny,1,,,,,
Hahaha payat,Hahaha skinny,Hahaha payat,Hahaha skinny,1,,,,,
HAHAHA sina,Hahaha Sina,HAHAHA sina,Hahaha Sina,0,,,,,
Hahaha ulol ka gawin mo gusto mo kahit mag tumbling ka PA sa edsa na Parang masisira na ulo ay sumige ka,Hahaha you are crazy you do you like even if you are still in EDSA as if it were a broken head you would,Hahaha ulol ka gawin mo gusto mo kahit mag tumbling ka PA sa edsa na Parang masisira na ulo ay sumige ka,Hahaha you are crazy you do you like even if you are still in EDSA as if it were a broken head you would,1,,,,,
HAHAHAA POTEK KUMUSTA NAMN SAKIN KONTRAABIDANG TITA,Hahahaa potek hello namn sakin against aunt,HAHAHAA. POTEK. KUMUSTA NAMAN SAKIN KONTRABIDANG TITA,Hahahaa. Potek. Hello aunt's villain,1,,,,,
hahahah shutacccaa kaya nga dito ako nag post dahil wala akong ibang kilala dito kundi ikaw lang hindot kah,hahahah shutaccca so i posted here because i know no one else here but you just,hahahah shutacccaa kaya nga dito ako nag post dahil wala akong ibang kilala dito kundi ikaw lang hindot kah,hahahah shutaccca so i posted here because i know no one else here but you just,1,,,,,
HAHAHAHHAHAHAHA GAGU,Hahahahhahahaha Gagu,HAHAHAHA GAGU,Hahahaha Gagu,1,,,,,
Hahahaha the duality of people You know the two sides me of well already Wingo Wingus Anya looks so cute lol,Hahahaha the duality of people You know the two sides me of well already Wingo Wingus Anya looks so cute lol,Hahahaha the duality of people You know the two sides me of well already Wingo Wingus Anya looks so cute lol,Hahahaha the duality of people You know the two sides me of well already Wingo Wingus Anya looks so cute lol,0,,,,,
hahahahaha,Hahahahaha,hahahahaha,Hahahahaha,0,,,,,
Hahahahaha no comment na lang ako dito,Hahahahaha no comment I'm just here,Hahahahaha no comment na lang ako dito,Hahahahaha no comment I'm just here,0,,,,,
Hahahahahahaha. tangina di alam,Hahahahahahaha. tangina di alam,Hahahahahahaha. tangina di alam,Hahahahahahaha. tangina di alam,1,,,,,
HAHAHAHAHHA proud of this man,HAHAHAHAHHA proud of this man,HAHAHAHAHHA proud of this man,HAHAHAHAHHA proud of this man,0,,,,,
Hahahahahhahahahah mukha ka namang tanga non kung hahabulin mo sarili mo,Hahahahahhahahahah you look so stupid non if you chase yourself,Hahahahahhahahahah mukha ka namang tanga non kung hahabulin mo sarili mo,Hahahahahhahahahah you look so stupid non if you chase yourself,1,,,,,
Hahahahha biglang sulpot si ulol tas may dalang icecream hahahahah,Hahahahha suddenly spit out with an ulol bag with icecream hahahahah,Hahahahha biglang sulpot si ulol tas may dalang icecream hahahahah,Hahahahha suddenly spit out with an ulol bag with icecream hahahahah,1,,,,,
Hahahha kainis talaga,Hahahha kainis talaga,Hahahha kainis talaga,Hahahha kainis talaga,1,,,,,
Hala gagi di bumababa lagnat ko,I don't want to go down my fever,"Hala ,gago, hindi bumababa lagnat ko","Well, crazy, not dropping my fever",1,,,,,
Hala ang gandaaaa. Excited na ako sa albums ko,It's nice to be nice. I'm excited about my albums,Hala ang gandaaaa. Excited na ako sa albums ko,It's nice to be nice. I'm excited about my albums,0,,,,,
Hala hala hala wholesome po,Kolome halo,Hala hala hala. wholesome po,Incorrect error occurred. wholesome po,0,,,,,
tara nga dito,dollars dito,halika nga dito,come here,0,,,,,
Halos nasasanay na akong walang breakfast and lunch Puro na lang dinner Okay pa kaya yon Puro din tubig lang,I'm almost used to no breakfast and lunch just for dinner okay so it's just water,Halos nasasanay na akong walang breakfast and lunch Puro na lang dinner Okay pa kaya yon Puro din tubig lang,I'm almost used to no breakfast and lunch just for dinner okay so it's just water,0,,,,,
Happiest Anniversary,Happiest Anniversary,Happiest Anniversary,Happiest Anniversary,0,,,,,
Happy Birthday ma Love you always,Happy Birthday ma Love you always,Happy Birthday ma Love you always,Happy Birthday ma Love you always,0,,,,,
happy na baga heart mo,happy lung lung heart you,happy na baga heart mo,happy lung lung heart you,0,,,,,
Hating it too much still not fond of it,Hating it too much still not fond of it,Hating it too much still not fond of it,Hating it too much still not fond of it,1,,,,,
Having a hard time sleeping,Having a hard time sleeping,Having a hard time sleeping,Having a hard time sleeping,0,,,,,
hehe ulol gago ka sabi mo there are things na within the circle lang dapat pero naipost nya pa tanginang yan hahahahaha wag kana magdahilan para lang majustify yung action mo jusmiyo,Hehe you are so stupid that you say there are things that are within the circle but he has posted it yet hahahahaha don't say that just to justify your action jusmiyo,hehe ulol gago ka sabi mo there are things na within the circle lang dapat pero naipost nya pa tanginang yan hahahahaha wag kana magdahilan para lang majustify yung action mo jusmiyo,Hehe you are so stupid that you say there are things that are within the circle but he has posted it yet hahahahaha don't say that just to justify your action jusmiyo,1,,,,,
Hell week made me feel like a sloppy pigI feel like Ive gained weight since Monday,Hell week made me feel like a sloppy pigI feel like Ive gained weight since Monday,Hell week made me feel like a sloppy pig. I feel like Ive gained weight since Monday,Hell week made me feel like a sloppy pig. I feel like Ive gained weight since Monday,1,,,,,
Hello beach,Hello beach,Hello beach,Hello beach,0,,,,,
Help di naman ako humuhugot pero I cant stop listening to s new single,Help I'm not awake but I can't stop listening to s new single,Help hindi naman ako humuhugot pero I cant stop listening to sa new single,Help i'm not awake but i can't stop listening to the new single,0,,,,,
Hi,Hi,Hi,Hi,0,,,,,
Hinahayaan nalang talaga,Let's just let it go,Hinahayaan nalang talaga,Let's just let it go,0,,,,,
Hinde ako lasing,I'm not drunk,Hinde ako lasing,I'm not drunk,0,,,,,
Hindi ako makauwi sa bahay,I can't go home,Hindi ako makauwi sa bahay,I can't go home,0,,,,,
hindi ako umaalis kapag di na masaya,I don't leave when it's not fun,hindi ako umaalis kapag di na masaya,I don't leave when it's not fun,0,,,,,
Hindi ko alam ganap later Maglaba nalang kingina,I don't know completely later to wash up Kingina,Hindi ko alam ganap later. Maglaba nalang. kingina,I don't know completely later. Malaba nalang. Kingina,1,,,,,
diko alam kung alin uunahin ko sa activity ko,diko know which one i will precede in my activity,hindi ko alam kung alin uunahin ko sa activity ko,I don't know which one I will precede in my activity,0,,,,,
Hindi mo kami maloloko,You can't fool us,Hindi mo kami maloloko.,You can't fool us.,0,,,,,
Hindi mo kaya Hahaha ems,You can't be so hahaha Ems,Hindi mo kaya. Hahaha ems,You can not. Hahaha Ems,0,,,,,
Hindi na ata ako aalis sa kanilang dalawa,I will never leave the two of them,Hindi na ata ako aalis sa kanilang dalawa,I will never leave the two of them,0,,,,,
hindi na para ipilit ko sarili ko sayo,Not for me to force myself to,hindi na para ipilit ko sarili ko sayo,Not for me to force myself to,0,,,,,
Hindi pa nag start yung shift nauumay na agad ako,I haven't started the shift yet I get tired of it,Hindi pa nag start yung shift nauumay na agad ako,I haven't started the shift yet I get tired of it,1,,,,,
Hindi pa nag start yung shift nauumay na agad ako,I haven't started the shift yet I get tired of it,Hindi pa nag start yung shift nauumay na agad ako,I haven't started the shift yet I get tired of it,0,,,,,
di pa natuloy ang defense pucha,Defense Pucha has not yet been,Hindi pa natuloy ang defense. pucha,The defense has not yet been resolved. Pucha,1,,,,,
Hindi pa tapos pasikatin ang PILOTONG FAKENEWS na si Ivan Raoa at Marites na Melinda Barlis heto may bago ang BASTOS na STALKER BBM supporter ERNEST LEIGH NAKAKAHIYA ka KAPAL NG MUKHA mo. ULOL,Fakenews Ivan Raoa and Marites Melinda Barlis are not finished here with a new stalker BBM supporter Ernest Leigh you are embarrassed by your face. Ulol,Hindi pa tapos pasikatin ang PILOTONG FAKENEWS na si Ivan Raoa at Marites na Melinda Barlis heto may bago ang BASTOS na STALKER BBM supporter ERNEST LEIGH NAKAKAHIYA ka KAPAL NG MUKHA mo. ULOL,Fakenews Ivan Raoa and Marites Melinda Barlis are not finished here with a new stalker BBM supporter Ernest Leigh you are embarrassed by your face. Ulol,1,,,,,
hindot,Hyg,hindot,Hyg,1,,,,,
Hirap kumita ng pera tataasan niyo wala tax Magpokpok na lang din kaya ko Wew,It's hard to earn money to raise your taxes just to get it so I can wew,Hirap kumita ng pera tataasan niyo wala tax Magpokpok na lang din kaya ko Wew,It's hard to earn money to raise your taxes just to get it so I can wew,1,,,,,
hirap naman pakiusapan ah,It's hard to ask ah ah,hirap naman pakiusapan ah,It's hard to ask ah ah,1,,,,,
HISTORY WILL REPEAT ITSELFplease take note of that,HISTORY WILL REPEAT ITSELFplease take note of that,HISTORY WILL REPEAT ITSELF please take note of that,HISTORY WILL REPEAT ITSELF please take note of that,0,,,,,
Hm to,Hm to,Hm to,Hm to,0,,,,,
HOOY I WANT HAHAHAHAHA,Hooy i want hahahahahaha,HOOY I WANT HAHAHAHAHA,Hooy i want hahahahahaha,0,,,,,
How come they be winning,How come they be winning,How come they be winning,How come they be winning,0,,,,,
how i wish,how i wish,how i wish,how i wish,0,,,,,
HOY GRABE TO,Hoy grabe to to,HOY GRABE TO,Hoy grabe to to,0,,,,,
hoy kuya i love you so much po,hoy kuya i love you so much po,hoy kuya i love you so much po,hoy kuya i love you so much po,0,,,,,
Hoy Solomon wag kang mag tae,Hoy solomon wag kang mag tae,Hoy Solomon huwag kang mag tae,Hey Solomon don't shit,1,,,,,
hoy super late ko natapos yung ginagawa pota akala ko pwedeng di tapusin ngayon pero ewan AWIT HAHAHAHAH hindi tuloy ako nakapaglaro ng vball,Hey super late I finished doing what I thought I could not finish now but ewan song hahahahah I couldn't play vball,hoy super late ko natapos yung ginagawa pota akala ko pwedeng di tapusin ngayon pero ewan. AWIT HAHAHAHAH hindi tuloy ako nakapaglaro ng volleyball,Hey super late I finished doing what I thought I could not finish now but ewan. Song hahahahah i didn't play volleyball,1,,,,,
HOY WAX SAAN NA PART NG BODY HAHAHAHAHAHAHAHAHAHAHAH,Hey wax where's that part of the body hahahahahahahahahahah,HOY WAX SAAN NA PART NG BODY HAHAHAHAHAHAHAHAHAHAHAH,Hey wax where's that part of the body hahahahahahahahahahah,0,,,,,
Hudas ka talaga odat Imbis na change shift nako,You really do not change my change shift,Hudas ka talaga odat Imbis na change shift nako,You really do not change my change shift,1,,,,,
Huhuhu,Huhuhu,Huhuhu,Huhuhu,0,,,,,
Huli ka balbon hahaha,You're late hahaha,Huli ka balbon hahaha,You're late hahaha,0,,,,,
i am so proud of you you did well today,i am so proud of you you did well today,i am so proud of you you did well today,i am so proud of you you did well today,0,,,,,
I been Healed now Im ready to walk at past,I been Healed now Im ready to walk at past,I been Healed now Im ready to walk at past,I been Healed now Im ready to walk at past,0,,,,,
I cant believe I still got a week left,I cant believe I still got a week left,I cant believe I still got a week left,I cant believe I still got a week left,0,,,,,
i cant wait to be home and surprise my fam with the good news,i cant wait to be home and surprise my fam with the good news,i cant wait to be home and surprise my fam with the good news,i cant wait to be home and surprise my fam with the good news,0,,,,,
i cant wait to be home and surprise my fam with the good news,i cant wait to be home and surprise my fam with the good news,i cant wait to be home and surprise my fam with the good news,i cant wait to be home and surprise my fam with the good news,0,,,,,
I did cry because of too latenot because I forgive you but I do Its just its not the way it will be used to be,I did cry because of too latenot because I forgive you but I do Its just its not the way it will be used to be,I did cry because of too late not because I forgive you but I do Its just its not the way it will be used to be,I did cry because of too late not because I forgive you but I do Its just its not the way it will be used to be,1,,,,,
I did study English You know,I did study English You know,I did study English You know,I did study English You know,0,,,,,
I do believe its time for another adventure,I do believe its time for another adventure,I do believe its time for another adventure,I do believe its time for another adventure,0,,,,,
I found you at a very weird time in my life,I found you at a very weird time in my life,I found you at a very weird time in my life,I found you at a very weird time in my life,0,,,,,
I got banned on tiktok because i posted a video defending the heartstopper being sexualized and about people assuming their sexuality omg fuck you tiktok,I got banned on tiktok because i posted a video defending the heartstopper being sexualized and about people assuming their sexuality omg fuck you tiktok,I got banned on tiktok because i posted a video defending the heartstopper being sexualized and about people assuming their sexuality omg fuck you tiktok,I got banned on tiktok because i posted a video defending the heartstopper being sexualized and about people assuming their sexuality omg fuck you tiktok,1,,,,,
I hate myself being disappointed after deciding to have a haircut,I hate myself being disappointed after deciding to have a haircut,I hate myself being disappointed after deciding to have a haircut,I hate myself being disappointed after deciding to have a haircut,1,,,,,
I have so much opportunities and plans for my school and my government Hindi ko siya magawa nang dahil sa ginawa sa akin ng mga taong itinuring kong Kaibigan at KakampiMga hudas kayo mga traydor,I have so much opportunities and plans for my school and my government I can't do it because of the people I considered friends and my friends to do with me traitors,I have so much opportunities and plans for my school and my government Hindi ko siya magawa nang dahil sa ginawa sa akin ng mga taong itinuring kong Kaibigan at KakampiMga hudas kayo mga traydor,I have so much opportunities and plans for my school and my government I can't do it because of the people I considered friends and my friends to do with me traitors,1,,,,,
I hope this will be the last,I hope this will be the last,I hope this will be the last,I hope this will be the last,0,,,,,
I just want to be happy thats all,I just want to be happy thats all,I just want to be happy that's all,I just want to be happy that's all,0,,,,,
I like me better when Im with you,I like me better when Im with you,I like me better when Im with you,I like me better when Im with you,0,,,,,
"I live for this, tama","I live for this, tama","I live for this, tama","I live for this, tama",0,,,,,
I love coffee but coffee doesnt love me so i palpitate everytime hehehehehehehehe,I love coffee but coffee doesnt love me so i palpitate everytime hehehehehehehehe,I love coffee but coffee doesn't love me so i palpitate everytime hehehehehehehehe,I love coffee but coffee doesn't love me so i palpitate everytime hehehehehehehehe,0,,,,,
I love you,I love you,I love you,I love you,0,,,,,
I love you bb kath,I love you bb kath,I love you bb kath,I love you bb kath,0,,,,,
I love you thank u for existing,I love you thank u for existing,I love you thank u for existing,I love you thank u for existing,0,,,,,
I love you thank u for existing,I love you thank u for existing,I love you thank you for existing,I love you thank you for existing,0,,,,,
i never knew what a true friendship means until ive known mama and tita Belle s storydont get me wrong my mom has a lot of great friends including my ninangs but tita belle has been an exception,i never knew what a true friendship means until ive known mama and tita Belle s storydont get me wrong my mom has a lot of great friends including my ninangs but tita belle has been an exception,i never knew what a true friendship means until ive known mama and tita Belle s storydont get me wrong my mom has a lot of great friends including my ninangs but tita belle has been an exception,i never knew what a true friendship means until ive known mama and tita Belle s storydont get me wrong my mom has a lot of great friends including my ninangs but tita belle has been an exception,0,,,,,
I really hate this kind of reunions See you soon lola ate We love you,I really hate this kind of reunions See you soon lola ate We love you,I really hate this kind of reunions See you soon lola ate We love you,I really hate this kind of reunions See you soon lola ate We love you,0,,,,,`
I really hate watching women being cheated,I really hate watching women being cheated,I really hate watching women being cheated,I really hate watching women being cheated,1,,,,,
I take the invasion of my personal space very seriously,I take the invasion of my personal space very seriously,I take the invasion of my personal space very seriously,I take the invasion of my personal space very seriously,1,,,,,
I think inedit out na ung papel dun HAHA tinuturo ni direk ung part na edited,I think edited out that paper dun haha ​​director pointed out that part edited,I think inedit out na ung papel dun. HAHA. tinuturo ni direk ung part na edited,I think edited out that paper dun. Haha. Director points out that part is edited,0,,,,,
I tried but I was tired,I tried but I was tired,I tried but I was tired,I tried but I was tired,1,,,,,
I was advised to smile more I smile I just stopped smiling when I react to,I was advised to smile more I smile I just stopped smiling when I react to,I was advised to smile more I smile I just stopped smiling when I react to,I was advised to smile more I smile I just stopped smiling when I react to,0,,,,,
I worked out again today after months hiatus Grabe cant feel my thigh,I worked out again today after months hiatus Grabe cant feel my thigh,"I worked out again today after months of hiatus. Grabe, can't feel my thighs","I worked out again today after months of hiatus. Grabe, can't feel my thighs",0,,,,,
iba na yata yon hahahahahamore like engot haha,It's different,Iba na yata yon hahahahaha. More like engot haha,It's different hahahahaha. More like engot haha,1,,,,,
ibalik ang dapat ibalik hahahah,Return MUST RETURN HAHAHAH,ibalik ang dapat ibalik hahahah,Return MUST RETURN HAHAHAH,0,,,,,
Ibigay nyo na sakin to,Give it to me,Ibigay nyo na sakin to,Give it to me,0,,,,,
Ilan ba talaga kuya Baka bukas big 6 na yan Hahaha,How many kuya can i be open big 6 yan hahaha,Ilan ba talaga kuya. Baka bukas big 6 na yan Hahaha,How many are I. Maybe tomorrow big 6 yan hahaha,0,,,,,
ily eme,ily do,ily eme,ily do,0,,,,,
Im at the gym pero puro pagkain iniisip ko Gusto ko kumain Huhu,Im at the gym but pure food i think i like to eat huhu,Im at the gym pero puro pagkain iniisip ko Gusto ko kumain Huhu,Im at the gym but pure food i think i like to eat huhu,0,,,,,
Im gonna get a tat. Bahala na kung papalayasin after,Im gonna get a tat. It is up to be evicted after,Im gonna get a tat. Bahala na kung papalayasin after,Im gonna get a tat. It is up to be evicted after,0,,,,,
Im good and i hope you are too,Im good and i hope you are too,Im good and i hope you are too,Im good and i hope you are too,0,,,,,
im in love,im in love,im in love,im in love,0,,,,,
Im sorry Lord kung ano man mangyari sa akin Kayo Po nakakaalam,Im sorry lord whatever happens to me you know,Im sorry Lord kung ano man mangyari sa akin Kayo Po nakakaalam,Im sorry lord whatever happens to me you know,0,,,,,
"In other words, a virtual media blackout","In other words, a virtual media blackout",In other words a virtual media blackout,In other words a virtual media blackout,0,,,,,
inaantok na ko I wanna go home na,I'm sleepy I wanna go home already,inaantok na ko. I wanna go home na,I'm sleepy. I wanna go home already,0,,,,,
Independent women na ulol na ulol sa bare minimum,Independent Women who are crazed in bare minimum,Independent women na ulol na ulol sa bare minimum,Independent Women who are crazed in bare minimum,1,,,,,
Ingat sa byahe baba,Care,"Ingat sa biyahe, baba","Watch out for the trip, Baba",0,,,,,
Inggit,Envy,Inggit,Envy,1,,,,,
Inggitera Ka tlga pakyu,Inggitera ka tlga pakyu,Inggitera Ka talaga pakyu,Envy you really pakyu,1,,,,,
Inggitera Ka talaga pakyu,Envy you really pakyu,Inggitera Ka talaga pakyu,Envy you really pakyu,1,,,,,
Inom tayo,Let's drink,Inom tayo,Let's drink,0,,,,,
Insecurity shit,Insecurity shit,Insecurity shit,Insecurity shit,1,,,,,
Instead of dragging ourselves deeper and feeling dumb like a failure we should continue to strive and elevate ourselves encourage and be helpful to others,Instead of dragging ourselves deeper and feeling dumb like a failure we should continue to strive and elevate ourselves encourage and be helpful to others,Instead of dragging ourselves deeper and feeling dumb like a failure we should continue to strive and elevate ourselves encourage and be helpful to others,Instead of dragging ourselves deeper and feeling dumb like a failure we should continue to strive and elevate ourselves encourage and be helpful to others,0,,,,,
inuman meron,Drink there,inuman meron,Drink there,0,,,,,
Is Marcos lutang today Yes,Is Marcos Langga Today Yes,Is Marcos lutang today Yes,Is Marcos Langga Today Yes,1,,,,,
Is that tamod,Is that semen,Is that tamod,Is that semen,1,,,,,
Isa kang alagad ng Demonyo ukininam,You are a demon disciple,Isa kang alagad ng Demonyo ukininam,You are a demon disciple,1,,,,,
It sounds like twenty one pilots song lyrics,It sounds like twenty one pilots song lyrics,It sounds like twenty one pilots song lyrics,It sounds like twenty one pilots song lyrics,0,,,,,
Ito na magiging pinakamatagal na lamay,It that would be the longest -linger,Ito na magiging pinakamatagal na lamay,It that would be the longest -linger,0,,,,,
